Mutation_value,fitness_sums_GA_IRS
1,71622.88973586437
2,66181.39078984948
3,68243.2108425339
4,65862.90361102491
5,63905.679793173374
6,61819.55300375506
7,63037.32314198411
8,61348.65474433721
9,59085.130393149644
