Mutation_value,fitness_sums_GA_IRS
1,60755.21823669087
2,58093.45382080258
3,57107.53266084842
4,49397.70121654837
5,49498.300013043154
6,44538.11068195
7,39330.650848939404
8,37512.26494067072
9,38232.63476361421
10,37630.46865142527
