Generation,fitness_sums_HC_IRS_RA,fitness_sums_HC_IRS,fitness_sums_GA_IRS_RA,fitness_sums_GA_IRS,fitness_sums_RS
1,64789.038131063586,60589.367261681145,62655.35760159304,42921.05256143435,125161.20095693835
2,66084.99686107531,72378.88860477014,61135.092588470114,45315.96692309813,117682.00012577754
3,60184.47756016015,72260.76138603373,68408.0147712321,45344.13865074581,117380.9317258849
4,77679.59587758876,82192.9589387946,69246.35070559841,44683.892401646764,123208.43182567658
5,66777.20798049838,72427.5610209555,69562.18976341655,46644.7857153993,125574.16983085584
6,66922.02404878949,84058.4081940546,71718.62290538182,44751.93680249297,125115.64347013304
7,66184.21702730456,74889.8355844062,70538.03101763933,48619.188710483475,127622.50809771006
8,70471.92590570885,76498.93357681666,65764.85394417198,51123.4407840334,118128.22664584733
9,77569.81506761318,78233.82461982168,67427.02629757865,51975.313107622016,127487.33668079658
